player,source,stage,group_name,home_team,away_team,kickoff_utc,predicted_score,pick,actual_score,result,pick_correct,exact_score,points,running_points,total_match_points,champion_bonus,overall_points,matches_scored,correct_picks,exact_scores
Me,harry,group,L,England,Ghana,2026-06-23T20:00:00+00:00,3-0,home,0-0,draw,0,0,0,22,68,5,73,81,46,11
Market,crowd,group,L,Panama,Croatia,2026-06-23T23:00:00+00:00,0-2,away,0-1,away,1,0,1,29,61,10,71,81,45,8
Model,pele,group,L,Panama,Croatia,2026-06-23T23:00:00+00:00,0-1,away,0-1,away,1,1,3,27,65,8,73,81,43,11
Me,harry,group,L,Panama,Croatia,2026-06-23T23:00:00+00:00,0-2,away,0-1,away,1,0,1,23,68,5,73,81,46,11
Market,crowd,group,K,Colombia,Congo DR,2026-06-24T02:00:00+00:00,1-0,home,1-0,home,1,1,3,32,61,10,71,81,45,8
Model,pele,group,K,Colombia,Congo DR,2026-06-24T02:00:00+00:00,1-0,home,1-0,home,1,1,3,30,65,8,73,81,43,11
Me,harry,group,K,Colombia,Congo DR,2026-06-24T02:00:00+00:00,1-1,draw,1-0,home,0,0,0,23,68,5,73,81,46,11
Market,crowd,group,B,Bosnia-Herzegovina,Qatar,2026-06-24T19:00:00+00:00,2-0,home,3-1,home,1,0,1,33,61,10,71,81,45,8
Market,crowd,group,B,Switzerland,Canada,2026-06-24T19:00:00+00:00,1-0,home,2-1,home,1,0,1,34,61,10,71,81,45,8
Model,pele,group,B,Bosnia-Herzegovina,Qatar,2026-06-24T19:00:00+00:00,1-0,home,3-1,home,1,0,1,31,65,8,73,81,43,11
Model,pele,group,B,Switzerland,Canada,2026-06-24T19:00:00+00:00,0-0,draw,2-1,home,0,0,0,31,65,8,73,81,43,11
Me,harry,group,B,Bosnia-Herzegovina,Qatar,2026-06-24T19:00:00+00:00,2-0,home,3-1,home,1,0,1,24,68,5,73,81,46,11
Me,harry,group,B,Switzerland,Canada,2026-06-24T19:00:00+00:00,1-1,draw,2-1,home,0,0,0,24,68,5,73,81,46,11
Market,crowd,group,C,Morocco,Haiti,2026-06-24T22:00:00+00:00,2-0,home,4-2,home,1,0,1,35,61,10,71,81,45,8
Market,crowd,group,C,Scotland,Brazil,2026-06-24T22:00:00+00:00,0-2,away,0-3,away,1,0,1,36,61,10,71,81,45,8
Model,pele,group,C,Morocco,Haiti,2026-06-24T22:00:00+00:00,1-0,home,4-2,home,1,0,1,32,65,8,73,81,43,11
Model,pele,group,C,Scotland,Brazil,2026-06-24T22:00:00+00:00,0-1,away,0-3,away,1,0,1,33,65,8,73,81,43,11
Me,harry,group,C,Morocco,Haiti,2026-06-24T22:00:00+00:00,2-0,home,4-2,home,1,0,1,25,68,5,73,81,46,11
Me,harry,group,C,Scotland,Brazil,2026-06-24T22:00:00+00:00,0-3,away,0-3,away,1,1,3,28,68,5,73,81,46,11
Market,crowd,group,E,Ecuador,Germany,2026-06-25T20:00:00+00:00,1-2,away,2-1,home,0,0,0,36,61,10,71,81,45,8
Market,crowd,group,E,Curaçao,Ivory Coast,2026-06-25T20:00:00+00:00,0-2,away,0-2,away,1,1,3,39,61,10,71,81,45,8
Model,pele,group,E,Ecuador,Germany,2026-06-25T20:00:00+00:00,0-1,away,2-1,home,0,0,0,33,65,8,73,81,43,11
Model,pele,group,E,Curaçao,Ivory Coast,2026-06-25T20:00:00+00:00,0-1,away,0-2,away,1,0,1,34,65,8,73,81,43,11
Me,harry,group,E,Ecuador,Germany,2026-06-25T20:00:00+00:00,0-2,away,2-1,home,0,0,0,28,68,5,73,81,46,11
Me,harry,group,E,Curaçao,Ivory Coast,2026-06-25T20:00:00+00:00,0-2,away,0-2,away,1,1,3,31,68,5,73,81,46,11
Market,crowd,group,F,Japan,Sweden,2026-06-25T23:00:00+00:00,1-0,home,1-1,draw,0,0,0,39,61,10,71,81,45,8
Market,crowd,group,F,Tunisia,Netherlands,2026-06-25T23:00:00+00:00,0-3,away,1-3,away,1,0,1,40,61,10,71,81,45,8
Model,pele,group,F,Japan,Sweden,2026-06-25T23:00:00+00:00,1-0,home,1-1,draw,0,0,0,34,65,8,73,81,43,11
Model,pele,group,F,Tunisia,Netherlands,2026-06-25T23:00:00+00:00,0-0,draw,1-3,away,0,0,0,34,65,8,73,81,43,11
Me,harry,group,F,Japan,Sweden,2026-06-25T23:00:00+00:00,1-1,draw,1-1,draw,1,1,3,34,68,5,73,81,46,11
Me,harry,group,F,Tunisia,Netherlands,2026-06-25T23:00:00+00:00,0-3,away,1-3,away,1,0,1,35,68,5,73,81,46,11
Market,crowd,group,D,Paraguay,Australia,2026-06-26T02:00:00+00:00,1-0,home,0-0,draw,0,0,0,40,61,10,71,81,45,8
Market,crowd,group,D,Türkiye,United States,2026-06-26T02:00:00+00:00,1-2,away,3-2,home,0,0,0,40,61,10,71,81,45,8
Model,pele,group,D,Paraguay,Australia,2026-06-26T02:00:00+00:00,0-0,draw,0-0,draw,1,1,3,37,65,8,73,81,43,11
Model,pele,group,D,Türkiye,United States,2026-06-26T02:00:00+00:00,0-0,draw,3-2,home,0,0,0,37,65,8,73,81,43,11
Me,harry,group,D,Paraguay,Australia,2026-06-26T02:00:00+00:00,1-1,draw,0-0,draw,1,0,1,36,68,5,73,81,46,11
Me,harry,group,D,Türkiye,United States,2026-06-26T02:00:00+00:00,1-1,draw,3-2,home,0,0,0,36,68,5,73,81,46,11
Market,crowd,r32,,South Africa,Canada,2026-06-28T19:00:00+00:00,0-1,away,0-1,away,1,1,3,43,61,10,71,81,45,8
Model,pele,r32,,South Africa,Canada,2026-06-28T19:00:00+00:00,0-1,away,0-1,away,1,1,3,40,65,8,73,81,43,11
Me,harry,r32,,South Africa,Canada,2026-06-28T19:00:00+00:00,0-1,away,0-1,away,1,1,3,39,68,5,73,81,46,11
Market,crowd,r32,,Brazil,Japan,2026-06-29T17:00:00+00:00,1-0,home,2-1,home,1,0,1,44,61,10,71,81,45,8
Model,pele,r32,,Brazil,Japan,2026-06-29T17:00:00+00:00,1-0,home,2-1,home,1,0,1,41,65,8,73,81,43,11
Me,harry,r32,,Brazil,Japan,2026-06-29T17:00:00+00:00,1-0,home,2-1,home,1,0,1,40,68,5,73,81,46,11
Market,crowd,r32,,Germany,Paraguay,2026-06-29T20:30:00+00:00,2-0,home,1-1,draw,0,0,0,44,61,10,71,81,45,8
Model,pele,r32,,Germany,Paraguay,2026-06-29T20:30:00+00:00,1-0,home,1-1,draw,0,0,0,41,65,8,73,81,43,11
Me,harry,r32,,Germany,Paraguay,2026-06-29T20:30:00+00:00,2-0,home,1-1,draw,0,0,0,40,68,5,73,81,46,11
Market,crowd,r32,,Netherlands,Morocco,2026-06-30T01:00:00+00:00,1-0,home,1-1,draw,0,0,0,44,61,10,71,81,45,8
Model,pele,r32,,Netherlands,Morocco,2026-06-30T01:00:00+00:00,1-0,home,1-1,draw,0,0,0,41,65,8,73,81,43,11
Me,harry,r32,,Netherlands,Morocco,2026-06-30T01:00:00+00:00,1-1,draw,1-1,draw,1,1,3,43,68,5,73,81,46,11
Market,crowd,r32,,Ivory Coast,Norway,2026-06-30T17:00:00+00:00,1-1,draw,1-2,away,0,0,0,44,61,10,71,81,45,8
Model,pele,r32,,Ivory Coast,Norway,2026-06-30T17:00:00+00:00,0-1,away,1-2,away,1,0,1,42,65,8,73,81,43,11
Me,harry,r32,,Ivory Coast,Norway,2026-06-30T17:00:00+00:00,0-1,away,1-2,away,1,0,1,44,68,5,73,81,46,11
Market,crowd,r32,,France,Sweden,2026-06-30T21:00:00+00:00,2-0,home,3-0,home,1,0,1,45,61,10,71,81,45,8
Model,pele,r32,,France,Sweden,2026-06-30T21:00:00+00:00,2-0,home,3-0,home,1,0,1,43,65,8,73,81,43,11
Me,harry,r32,,France,Sweden,2026-06-30T21:00:00+00:00,2-0,home,3-0,home,1,0,1,45,68,5,73,81,46,11
Market,crowd,r32,,Mexico,Ecuador,2026-07-01T02:00:00+00:00,1-0,home,2-0,home,1,0,1,46,61,10,71,81,45,8
Model,pele,r32,,Mexico,Ecuador,2026-07-01T02:00:00+00:00,0-0,draw,2-0,home,0,0,0,43,65,8,73,81,43,11
Me,harry,r32,,Mexico,Ecuador,2026-07-01T02:00:00+00:00,1-0,home,2-0,home,1,0,1,46,68,5,73,81,46,11
Market,crowd,r32,,United States,Bosnia-Herzegovina,2026-07-02T00:00:00+00:00,2-0,home,2-0,home,1,1,3,49,61,10,71,81,45,8
Model,pele,r32,,United States,Bosnia-Herzegovina,2026-07-02T00:00:00+00:00,1-0,home,2-0,home,1,0,1,44,65,8,73,81,43,11
Me,harry,r32,,United States,Bosnia-Herzegovina,2026-07-02T00:00:00+00:00,2-0,home,2-0,home,1,1,3,49,68,5,73,81,46,11
Market,crowd,r32,,Spain,Austria,2026-07-02T19:00:00+00:00,2-0,home,3-0,home,1,0,1,50,61,10,71,81,45,8
Model,pele,r32,,Spain,Austria,2026-07-02T19:00:00+00:00,1-0,home,3-0,home,1,0,1,45,65,8,73,81,43,11
Me,harry,r32,,Spain,Austria,2026-07-02T19:00:00+00:00,2-0,home,3-0,home,1,0,1,50,68,5,73,81,46,11
Market,crowd,r32,,Portugal,Croatia,2026-07-02T23:00:00+00:00,1-0,home,2-1,home,1,0,1,51,61,10,71,81,45,8
Model,pele,r32,,Portugal,Croatia,2026-07-02T23:00:00+00:00,1-0,home,2-1,home,1,0,1,46,65,8,73,81,43,11
Me,harry,r32,,Portugal,Croatia,2026-07-02T23:00:00+00:00,2-0,home,2-1,home,1,0,1,51,68,5,73,81,46,11
Market,crowd,r32,,Switzerland,Algeria,2026-07-03T03:00:00+00:00,1-0,home,2-0,home,1,0,1,52,61,10,71,81,45,8
Model,pele,r32,,Switzerland,Algeria,2026-07-03T03:00:00+00:00,1-0,home,2-0,home,1,0,1,47,65,8,73,81,43,11
Me,harry,r32,,Switzerland,Algeria,2026-07-03T03:00:00+00:00,1-0,home,2-0,home,1,0,1,52,68,5,73,81,46,11
Market,crowd,r32,,Australia,Egypt,2026-07-03T18:00:00+00:00,0-1,away,1-1,draw,0,0,0,52,61,10,71,81,45,8
Model,pele,r32,,Australia,Egypt,2026-07-03T18:00:00+00:00,0-0,draw,1-1,draw,1,0,1,48,65,8,73,81,43,11
Me,harry,r32,,Australia,Egypt,2026-07-03T18:00:00+00:00,2-1,home,1-1,draw,0,0,0,52,68,5,73,81,46,11
Market,crowd,r32,,Argentina,Cape Verde,2026-07-03T22:00:00+00:00,2-0,home,1-1,draw,0,0,0,52,61,10,71,81,45,8
Model,pele,r32,,Argentina,Cape Verde,2026-07-03T22:00:00+00:00,2-0,home,1-1,draw,0,0,0,48,65,8,73,81,43,11
Me,harry,r32,,Argentina,Cape Verde,2026-07-03T22:00:00+00:00,3-0,home,1-1,draw,0,0,0,52,68,5,73,81,46,11
Market,crowd,r32,,Colombia,Ghana,2026-07-04T01:30:00+00:00,1-0,home,1-0,home,1,1,3,55,61,10,71,81,45,8
Model,pele,r32,,Colombia,Ghana,2026-07-04T01:30:00+00:00,1-0,home,1-0,home,1,1,3,51,65,8,73,81,43,11
Me,harry,r32,,Colombia,Ghana,2026-07-04T01:30:00+00:00,1-0,home,1-0,home,1,1,3,55,68,5,73,81,46,11
Market,crowd,r16,,Canada,Morocco,2026-07-04T17:00:00+00:00,0-1,away,0-3,away,1,0,1,56,61,10,71,81,45,8
Model,pele,r16,,Canada,Morocco,2026-07-04T17:00:00+00:00,0-0,draw,0-3,away,0,0,0,51,65,8,73,81,43,11
Me,harry,r16,,Canada,Morocco,2026-07-04T17:00:00+00:00,1-1,draw,0-3,away,0,0,0,55,68,5,73,81,46,11
Market,crowd,r16,,Paraguay,France,2026-07-04T21:00:00+00:00,0-2,away,0-1,away,1,0,1,57,61,10,71,81,45,8
Model,pele,r16,,Paraguay,France,2026-07-04T21:00:00+00:00,0-1,away,0-1,away,1,1,3,54,65,8,73,81,43,11
Me,harry,r16,,Paraguay,France,2026-07-04T21:00:00+00:00,0-3,away,0-1,away,1,0,1,56,68,5,73,81,46,11
Market,crowd,r16,,Brazil,Norway,2026-07-05T20:00:00+00:00,2-1,home,1-2,away,0,0,0,57,61,10,71,81,45,8
Model,pele,r16,,Brazil,Norway,2026-07-05T20:00:00+00:00,1-0,home,1-2,away,0,0,0,54,65,8,73,81,43,11
Me,harry,r16,,Brazil,Norway,2026-07-05T20:00:00+00:00,2-1,home,1-2,away,0,0,0,56,68,5,73,81,46,11
Market,crowd,r16,,Mexico,England,2026-07-06T01:00:00+00:00,0-1,away,2-3,away,1,0,1,58,61,10,71,81,45,8
Model,pele,r16,,Mexico,England,2026-07-06T01:00:00+00:00,0-0,draw,2-3,away,0,0,0,54,65,8,73,81,43,11
Me,harry,r16,,Mexico,England,2026-07-06T01:00:00+00:00,2-1,home,2-3,away,0,0,0,56,68,5,73,81,46,11
Market,crowd,r16,,Portugal,Spain,2026-07-06T19:00:00+00:00,1-2,away,0-1,away,1,0,1,59,61,10,71,81,45,8
Model,pele,r16,,Portugal,Spain,2026-07-06T19:00:00+00:00,0-1,away,0-1,away,1,1,3,57,65,8,73,81,43,11
Me,harry,r16,,Portugal,Spain,2026-07-06T19:00:00+00:00,0-2,away,0-1,away,1,0,1,57,68,5,73,81,46,11
Market,crowd,r16,,United States,Belgium,2026-07-07T00:00:00+00:00,2-1,home,1-4,away,0,0,0,59,61,10,71,81,45,8
Model,pele,r16,,United States,Belgium,2026-07-07T00:00:00+00:00,0-0,draw,1-4,away,0,0,0,57,65,8,73,81,43,11
Me,harry,r16,,United States,Belgium,2026-07-07T00:00:00+00:00,1-0,home,1-4,away,0,0,0,57,68,5,73,81,46,11
Market,crowd,r16,,Argentina,Egypt,2026-07-07T16:00:00+00:00,2-0,home,3-2,home,1,0,1,60,61,10,71,81,45,8
Model,pele,r16,,Argentina,Egypt,2026-07-07T16:00:00+00:00,2-0,home,3-2,home,1,0,1,58,65,8,73,81,43,11
Me,harry,r16,,Argentina,Egypt,2026-07-07T16:00:00+00:00,2-0,home,3-2,home,1,0,1,58,68,5,73,81,46,11
Market,crowd,r16,,Switzerland,Colombia,2026-07-07T20:00:00+00:00,0-1,away,0-0,draw,0,0,0,60,61,10,71,81,45,8
Model,pele,r16,,Switzerland,Colombia,2026-07-07T20:00:00+00:00,0-0,draw,0-0,draw,1,1,3,61,65,8,73,81,43,11
Me,harry,r16,,Switzerland,Colombia,2026-07-07T20:00:00+00:00,1-1,draw,0-0,draw,1,0,1,59,68,5,73,81,46,11
Market,crowd,qf,,France,Morocco,2026-07-09T20:00:00+00:00,1-0,home,2-0,home,1,0,1,61,61,10,71,81,45,8
Model,pele,qf,,France,Morocco,2026-07-09T20:00:00+00:00,1-0,home,2-0,home,1,0,1,62,65,8,73,81,43,11
Me,harry,qf,,France,Morocco,2026-07-09T20:00:00+00:00,2-0,home,2-0,home,1,1,3,62,68,5,73,81,46,11
Market,crowd,qf,,Norway,England,2026-07-11T21:00:00+00:00,1-2,away,1-1,draw,0,0,0,61,61,10,71,81,45,8
Model,pele,qf,,Norway,England,2026-07-11T21:00:00+00:00,0-1,away,1-1,draw,0,0,0,62,65,8,73,81,43,11
Me,harry,qf,,Norway,England,2026-07-11T21:00:00+00:00,1-1,draw,1-1,draw,1,1,3,65,68,5,73,81,46,11
Market,crowd,qf,,Argentina,Switzerland,2026-07-12T01:00:00+00:00,1-0,home,1-1,draw,0,0,0,61,61,10,71,81,45,8
Model,pele,qf,,Argentina,Switzerland,2026-07-12T01:00:00+00:00,1-0,home,1-1,draw,0,0,0,62,65,8,73,81,43,11
Me,harry,qf,,Argentina,Switzerland,2026-07-12T01:00:00+00:00,2-0,home,1-1,draw,0,0,0,65,68,5,73,81,46,11
Market,crowd,sf,,France,Spain,2026-07-14T19:00:00+00:00,1-0,home,0-2,away,0,0,0,61,61,10,71,81,45,8
Model,pele,sf,,France,Spain,2026-07-14T19:00:00+00:00,0-0,draw,0-2,away,0,0,0,62,65,8,73,81,43,11
Me,harry,sf,,France,Spain,2026-07-14T19:00:00+00:00,1-1,draw,0-2,away,0,0,0,65,68,5,73,81,46,11
Market,crowd,sf,,England,Argentina,2026-07-15T19:00:00+00:00,1-0,home,1-2,away,0,0,0,61,61,10,71,81,45,8
Model,pele,sf,,England,Argentina,2026-07-15T19:00:00+00:00,0-0,draw,1-2,away,0,0,0,62,65,8,73,81,43,11
Me,harry,sf,,England,Argentina,2026-07-15T19:00:00+00:00,1-2,away,1-2,away,1,1,3,68,68,5,73,81,46,11
Market,crowd,third,,France,England,2026-07-18T21:00:00+00:00,2-1,home,4-6,away,0,0,0,61,61,10,71,81,45,8
Model,pele,third,,France,England,2026-07-18T21:00:00+00:00,0-0,draw,4-6,away,0,0,0,62,65,8,73,81,43,11
Me,harry,third,,France,England,2026-07-18T21:00:00+00:00,3-1,home,4-6,away,0,0,0,68,68,5,73,81,46,11
Market,crowd,final,,Spain,Argentina,2026-07-19T19:00:00+00:00,1-0,home,0-0,draw,0,0,0,61,61,10,71,81,45,8
Model,pele,final,,Spain,Argentina,2026-07-19T19:00:00+00:00,0-0,draw,0-0,draw,1,1,3,65,65,8,73,81,43,11
Me,harry,final,,Spain,Argentina,2026-07-19T19:00:00+00:00,0-1,away,0-0,draw,0,0,0,68,68,5,73,81,46,11
